"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\planool\planool_server\src\planEditorManager\manager.js", "JavaScript", 2, 0, 2, 4
"c:\planool\planool_server\src\socketManager.js", "JavaScript", -1, 0, -3, -4
"Total", "-", 1, 0, -1, 0
